level3CategoryId,level2CategoryId,level1CategoryId,categoryName
5010,1946,1882,Máy lọc nước
54298,54290,44792,Thủy hải sản chế biến
54464,54452,44792,"Giỏ quà, bánh theo mùa"
54404,54398,44792,"Mật ong, mứt, cốt dừa"
29008,8095,1846,Laptop 2 trong 1
30020,12884,1846,Máy Scan Mã Vạch
2340,2307,1520,Máy massage toàn thân
5905,2306,1520,Máy & Dụng cụ rửa mặt 
49606,4561,976,Ví dài
49604,4561,976,Ví ngắn
4346,2663,1846,Mở Rộng Mạng Qua Đường Điện - Powerline Ethernet
20806,20766,17166,Nấu ăn và làm bánh
23820,1884,1882,Máy sấy thực phẩm
20236,8214,1815,Túi Bảo Vệ - Túi Chống Nước
49602,4560,976,Túi xách vừa và nhỏ
6525,27612,6000,Túi chống sốc
1819,8214,1815,Phụ Kiện Di Động Khác
958,958,27616,Túi đeo chéo nam
8167,2306,1520,Dụng cụ làm đẹp khác
54394,54384,44792,"Rong biển, nấm, măng khô"
54460,54452,44792,"Bim bim, snack, khoai tây"
11843,8370,27498,Phụ kiện kính
24170,24128,1975,Dụng cụ tập thể thao khác
18342,18328,8322,Phụ kiện - Vật liệu trang trí
23450,10068,1883,Đàn piano
10073,10068,1883,Các loại đàn khác
23464,10068,1883,Đàn organ
23466,10068,1883,"Đàn guitar, ukulele"
23462,10068,1883,Amply
10074,10068,1883,"Kèn, Trống & Phụ kiện"
23802,2015,1883,"Đèn xông tinh dầu, tinh dầu và phụ kiện"
23078,23054,1883,"Hương, nhang"
24260,24258,1975,Gậy leo núi
4875,1884,1882,"Máy hút khói, khử mùi"
1510,4554,931,Quần lót nữ
2654,2640,2549,"Đai nịt bụng, Quần tạo dáng sau sinh"
37622,8595,8594,Xe tải
8346,1508,931,Đồ ngủ nữ
49348,27600,931,Quần baggy nữ
49384,49384,931,Thời trang trung niên
12676,2667,1815,Đĩa Game
21076,21074,17166,Laptop
8049,8047,1801,Phụ Kiện Máy Bay Camera - Drone
10388,1698,931,Áo hai dây - Áo ba lỗ nữ
933,1698,931,Áo thun nữ
935,1698,931,Áo kiểu
27578,6179,931,Đồ bơi hai mảnh
10389,1698,931,Áo crop-top
5400,975,27498,Phụ kiện cưới
49460,925,915,Áo khoác nỉ
8511,1778,8371,"Đồng hồ thời trang, casual nam"
1828,8060,1846,USB
11755,1592,1520,Kem tan mỡ
