level2CategoryId,level1CategoryId,categoryName
2328,4221,Tủ lạnh
54344,44792,"Đông lạnh, mát"
49524,915,Quần áo nam kích cỡ lớn
10382,915,Áo hoodie nam
936,931,Áo khoác nữ
925,915,Áo vest - Áo khoác nam
4546,915,Áo nỉ - Áo len nam
941,931,Đầm nữ
8215,1815,Thiết Bị Âm Thanh và Phụ Kiện
2015,1883,Đèn & thiết bị chiếu sáng
8214,1815,Phụ Kiện Điện Thoại và Máy Tính Bảng
5250,2549,Đồ chơi
8428,1975,Đồ dùng dã ngoại
27608,6000,Balo
11603,2549,Thời Trang Cho Mẹ Và Bé
7741,8322,Văn phòng phẩm
8387,6000,Túi du lịch và phụ kiện
5451,4384,Chăm sóc thú cưng
6140,1975,Trang phục thể thao nam
1702,931,Áo liền quần - Bộ trang phục
24128,1975,Dụng cụ - thiết bị tập thể thao
6141,1975,Trang phục thể thao nữ
1966,1883,Đồ dùng và thiết bị nhà tắm
2150,1883,Nội thất
2307,1520,Máy Massage & Thiết bị chăm sóc sức khỏe
24306,1975,Phụ kiện thể thao
6826,1975,Giày thể thao nam
1594,1520,Chăm sóc cá nhân
975,27498,Phụ kiện thời trang nữ
8339,2549,Dinh dưỡng cho bé
1698,931,Áo nữ
917,915,Áo thun nam
27570,915,"Đồ ngủ, đồ mặc nhà nam"
28670,1815,Phụ kiện máy tính và Laptop
26568,4221,Âm thanh & Phụ kiện Tivi
21382,17166,Thiết Bị Số - Phụ Kiện Số
6526,6000,"Vali, phụ kiện vali "
11601,2549,Đồ dùng cho bé
1840,1801,Balo - Túi Đựng - Bao Da
54362,44792,"Dầu ăn, gia vị"
27604,1703,Giày thể thao nữ
27572,1686,Giày thể thao nam
8355,1703,Giày cao gót
984,1703,Dép - Guốc nữ
2223,1883,Ngoài trời & sân vườn
8357,1703,Phụ kiện giày
1581,1686,Giày tây nam
8352,976,Phụ kiện túi
4554,931,Đồ lót nữ
18328,8322,Quà lưu niệm
1973,1883,Trang trí nhà cửa
1954,1883,Đồ dùng phòng ăn
15074,4384,Thực phẩm Đóng hộp và Khô
2640,2549,"Chăm sóc mẹ mang thai, sau sinh"
54276,44792,"Thịt, Trứng"
20908,17166,Làm Đẹp - Sức Khỏe
1974,1883,Sửa chữa nhà cửa
1951,1883,Dụng cụ nhà bếp
1582,1520,Chăm sóc da mặt
977,8371,Đồng hồ nữ
54412,44792,"Bia, đồ uống"
8370,27498,Mắt kính
1884,1882,Đồ dùng nhà bếp
4227,1975,Các môn thể thao đồng đội
24832,8594,Phụ kiện - Chăm sóc xe
24294,1975,Dụng cụ câu cá
5342,1686,Dép nam
5341,1686,Giày sandals nam
11326,11312,Nha khoa - Sức khỏe
12884,1846,Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi
11322,11312,Spa & Làm đẹp
2667,1815,Thiết Bị Chơi Game và Phụ Kiện
2663,1846,Thiết Bị Mạng
5015,4221,Tivi
54430,44792,Thực phẩm chay
8061,1789,Điện thoại bàn
28814,1801,Thiết Bị Ánh Sáng
4421,4384,Đồ Ăn Vặt
1946,1882,Thiết bị gia đình
54474,44792,Chăm sóc cá nhân
1192,1703,Giày búp bê
4551,1703,Giày lười nữ
1008,1703,Giày Đế xuồng nữ 
4550,1703,Giày sandals nữ
49516,915,Đồ đôi - Đồ gia đình nam
4561,976,Ví nữ
959,27616,Ví nam
49532,915,Quần áo nam trung niên
918,915,Áo sơ mi nam
8093,1846,PC - Máy Tính Bộ
11319,11312,Du lịch - Khách sạn
11375,8371,Đồng hồ trẻ em
1592,1520,Chăm sóc cơ thể
316,8322,Sách tiếng Việt
2306,1520,Dụng cụ làm đẹp
8431,8594,Xe đạp
15078,2549,Chăm sóc nhà cửa
2551,2549,"Tã, Bỉm"
23054,1883,Đồ thờ cúng
54384,44792,"Gạo, mì, nông sản"
27550,27498,Phụ kiện thời trang nam
27600,931,Quần nữ
4558,976,"Túi đeo chéo, túi đeo vai nữ"
27612,6000,"Balo, cặp, túi chống sốc laptop"
958,27616,Túi đeo chéo nam
4560,976,Túi xách tay nữ
8374,8371,Trang sức
21356,17166,Thể thao - Dã ngoại
