level2CategoryId,level1CategoryId,categoryName
1946,1882,Thiết bị gia đình
1954,1883,Đồ dùng phòng ăn
1951,1883,Dụng cụ nhà bếp
54290,44792,"Cá, thuỷ hải sản"
54452,44792,"Bánh kẹo, giỏ quà"
54398,44792,"Đồ hộp, đóng gói"
8095,1846,Laptop
12884,1846,Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi
2306,1520,Dụng cụ làm đẹp
2307,1520,Máy Massage & Thiết bị chăm sóc sức khỏe
4561,976,Ví nữ
975,27498,Phụ kiện thời trang nữ
2663,1846,Thiết Bị Mạng
20766,17166,Bách hóa online
1884,1882,Đồ dùng nhà bếp
8214,1815,Phụ Kiện Điện Thoại và Máy Tính Bảng
4560,976,Túi xách tay nữ
27612,6000,"Balo, cặp, túi chống sốc laptop"
2150,1883,Nội thất
8413,1975,Thể thao dưới nước
958,27616,Túi đeo chéo nam
54384,44792,"Gạo, mì, nông sản"
8370,27498,Mắt kính
2223,1883,Ngoài trời & sân vườn
24128,1975,Dụng cụ - thiết bị tập thể thao
18328,8322,Quà lưu niệm
4227,1975,Các môn thể thao đồng đội
24832,8594,Phụ kiện - Chăm sóc xe
15078,2549,Chăm sóc nhà cửa
11603,2549,Thời Trang Cho Mẹ Và Bé
10068,1883,Nhạc cụ
2015,1883,Đèn & thiết bị chiếu sáng
23054,1883,Đồ thờ cúng
1973,1883,Trang trí nhà cửa
24258,1975,Dụng cụ leo núi
24024,4384,Đồ Uống Không Cồn
15074,4384,Thực phẩm Đóng hộp và Khô
5250,2549,Đồ chơi
320,8322,English Books
4554,931,Đồ lót nữ
1966,1883,Đồ dùng và thiết bị nhà tắm
2640,2549,"Chăm sóc mẹ mang thai, sau sinh"
8595,8594,Ô tô
1508,931,Đồ ngủ - Đồ mặc nhà nữ
27600,931,Quần nữ
49384,931,Thời trang trung niên
2667,1815,Thiết Bị Chơi Game và Phụ Kiện
21074,17166,Laptop & Máy Vi Tính
8047,1801,Máy Bay Camera và Phụ Kiện
1698,931,Áo nữ
6179,931,Trang phục bơi nữ
925,915,Áo vest - Áo khoác nam
1778,8371,Đồng hồ nam
53582,4384,Đồ uống có cồn
8060,1846,Thiết Bị Lưu Trữ
1592,1520,Chăm sóc cơ thể
21442,17166,Thời Trang
8355,1703,Giày cao gót
5340,1686,Giày lười nam
4551,1703,Giày lười nữ
6526,6000,"Vali, phụ kiện vali "
1594,1520,Chăm sóc cá nhân
27604,1703,Giày thể thao nữ
7741,8322,Văn phòng phẩm
1974,1883,Sửa chữa nhà cửa
24002,1975,Các môn thể thao khác
27550,27498,Phụ kiện thời trang nam
53562,4384,Sữa và các Sản phẩm từ sữa
28794,1801,Ống Kính - Ống Ngắm
44824,44792,Trái Cây
8129,1846,Linh Kiện Máy Tính - Phụ Kiện Máy Tính
918,915,Áo sơ mi nam
6141,1975,Trang phục thể thao nữ
4553,931,Đồ đôi - Đồ gia đình
936,931,Áo khoác nữ
917,915,Áo thun nam
5451,4384,Chăm sóc thú cưng
8313,1883,Đồ dùng phòng ngủ
28806,1801,Máy Ảnh
6827,1975,Giày thể thao nữ
977,8371,Đồng hồ nữ
1840,1801,Balo - Túi Đựng - Bao Da
8215,1815,Thiết Bị Âm Thanh và Phụ Kiện
11333,11312,Sự kiện - Thể thao
8039,1815,Thiết Bị Đeo Thông Minh và Phụ Kiện
6070,8594,Xe điện
11332,11312,Khóa học
54412,44792,"Bia, đồ uống"
23120,1975,Các môn thể thao đối kháng 
10803,1975,Thực phẩm bổ sung năng lượng
8339,2549,Dinh dưỡng cho bé
28814,1801,Thiết Bị Ánh Sáng
54302,44792,Rau củ quả
8374,8371,Trang sức
54474,44792,Chăm sóc cá nhân
28670,1815,Phụ kiện máy tính và Laptop
21268,17166,Nhà Cửa - Đời Sống
8387,6000,Túi du lịch và phụ kiện
11313,11312,Nhà hàng - Ăn uống
5015,4221,Tivi
11601,2549,Đồ dùng cho bé
1818,1801,"Phụ Kiện Máy Ảnh, Máy Quay"
8357,1703,Phụ kiện giày
8338,1686,Phụ kiện giày nam
11334,11312,Dịch vụ khác
1591,1520,Chăm sóc tóc và da đầu
27572,1686,Giày thể thao nam
3869,4221,Tủ ướp rượu
316,8322,Sách tiếng Việt
16004,915,Đồ bơi - Đồ đi biển nam
8428,1975,Đồ dùng dã ngoại
26568,4221,Âm thanh & Phụ kiện Tivi
28822,1801,Thiết Bị Quay Phim
24294,1975,Dụng cụ câu cá
6140,1975,Trang phục thể thao nam
4077,1801,Camera Giám Sát
28432,1815,Thiết Bị Thông Minh và Linh Kiện Điện Tử
27608,6000,Balo
22998,4384,Đồ uống - Pha chế dạng bột
27570,915,"Đồ ngủ, đồ mặc nhà nam"
1702,931,Áo liền quần - Bộ trang phục
27562,915,Quần nam
54316,44792,Thực phẩm Việt
4421,4384,Đồ Ăn Vặt
21356,17166,Thể thao - Dã ngoại
4558,976,"Túi đeo chéo, túi đeo vai nữ"
54344,44792,"Đông lạnh, mát"
11347,4384,Bộ quà tặng
49524,915,Quần áo nam kích cỡ lớn
5337,27616,Túi xách công sở nam
959,27616,Ví nam
984,1703,Dép - Guốc nữ
1008,1703,Giày Đế xuồng nữ 
4550,1703,Giày sandals nữ
5342,1686,Dép nam
11326,11312,Nha khoa - Sức khỏe
54438,44792,Dành cho trẻ em
11327,11312,Sự kiện - Giải trí
21166,17166,Mẹ & Bé
941,931,Đầm nữ
8337,1686,Giày boots nam
1581,1686,Giày tây nam
8431,8594,Xe đạp
21298,17166,"Sách, Văn phòng phẩm & Quà lưu niệm"
17208,8594,"Dịch vụ, lắp đặt"
1584,1520,Trang điểm 
21382,17166,Thiết Bị Số - Phụ Kiện Số
54276,44792,"Thịt, Trứng"
4559,976,Túi tote nữ
8352,976,Phụ kiện túi
5404,931,Chân váy
8411,1975,Các môn thể thao chơi vợt
54362,44792,"Dầu ăn, gia vị"
49372,931,Thời trang bầu và sau sinh
53620,4384,Đậu & Hạt Các Loại
4422,4384,Gia Vị và Chế Biến
8142,1520,Hỗ trợ tình dục
2551,2549,"Tã, Bỉm"
1582,1520,Chăm sóc da mặt
27548,915,Đồ lót nam
11319,11312,Du lịch - Khách sạn
49532,915,Quần áo nam trung niên
1192,1703,Giày búp bê
8093,1846,PC - Máy Tính Bộ
8597,8594,Xe máy
8074,4221,Phụ kiện điện lạnh
11322,11312,Spa & Làm đẹp
4546,915,Áo nỉ - Áo len nam
10382,915,Áo hoodie nam
27542,8371,Phụ kiện đồng hồ
981,1703,Giày boots nữ
24306,1975,Phụ kiện thể thao
6826,1975,Giày thể thao nam
20824,17166,Điện gia dụng
20908,17166,Làm Đẹp - Sức Khỏe
6568,2549,Thực phẩm ăn dặm
54466,44792,"Thức ăn, đồ thú cưng"
1794,1789,Máy tính bảng
11375,8371,Đồng hồ trẻ em
54500,44792,Chăm sóc nhà cửa
10570,2549,Chuẩn bị mang thai
