level2CategoryId,level1CategoryId,categoryName
27600,931,Quần nữ
27548,915,Đồ lót nam
11603,2549,Thời Trang Cho Mẹ Và Bé
8313,1883,Đồ dùng phòng ngủ
8214,1815,Phụ Kiện Điện Thoại và Máy Tính Bảng
27562,915,Quần nam
27570,915,"Đồ ngủ, đồ mặc nhà nam"
27550,27498,Phụ kiện thời trang nam
18328,8322,Quà lưu niệm
975,27498,Phụ kiện thời trang nữ
27604,1703,Giày thể thao nữ
27572,1686,Giày thể thao nam
6827,1975,Giày thể thao nữ
8355,1703,Giày cao gót
4551,1703,Giày lười nữ
8060,1846,Thiết Bị Lưu Trữ
1582,1520,Chăm sóc da mặt
24258,1975,Dụng cụ leo núi
54412,44792,"Bia, đồ uống"
4550,1703,Giày sandals nữ
5341,1686,Giày sandals nam
1192,1703,Giày búp bê
984,1703,Dép - Guốc nữ
1884,1882,Đồ dùng nhà bếp
5250,2549,Đồ chơi
7741,8322,Văn phòng phẩm
11601,2549,Đồ dùng cho bé
1954,1883,Đồ dùng phòng ăn
15078,2549,Chăm sóc nhà cửa
2150,1883,Nội thất
1818,1801,"Phụ Kiện Máy Ảnh, Máy Quay"
6826,1975,Giày thể thao nam
1581,1686,Giày tây nam
8357,1703,Phụ kiện giày
1778,8371,Đồng hồ nam
54302,44792,Rau củ quả
316,8322,Sách tiếng Việt
1951,1883,Dụng cụ nhà bếp
2223,1883,Ngoài trời & sân vườn
8374,8371,Trang sức
23054,1883,Đồ thờ cúng
1973,1883,Trang trí nhà cửa
5451,4384,Chăm sóc thú cưng
5342,1686,Dép nam
49372,931,Thời trang bầu và sau sinh
4554,931,Đồ lót nữ
6140,1975,Trang phục thể thao nam
28834,1801,Camera Hành Trình - Action Camera và Phụ Kiện
12884,1846,Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi
8095,1846,Laptop
8074,4221,Phụ kiện điện lạnh
54500,44792,Chăm sóc nhà cửa
10418,2549,Dinh dưỡng cho người lớn
21382,17166,Thiết Bị Số - Phụ Kiện Số
28670,1815,Phụ kiện máy tính và Laptop
3865,4221,Máy lạnh - Máy điều hòa
8129,1846,Linh Kiện Máy Tính - Phụ Kiện Máy Tính
24832,8594,Phụ kiện - Chăm sóc xe
2306,1520,Dụng cụ làm đẹp
5873,1520,Sản phẩm thiên nhiên & Khác
24128,1975,Dụng cụ - thiết bị tập thể thao
24294,1975,Dụng cụ câu cá
24002,1975,Các môn thể thao khác
936,931,Áo khoác nữ
1698,931,Áo nữ
10382,915,Áo hoodie nam
4546,915,Áo nỉ - Áo len nam
6141,1975,Trang phục thể thao nữ
1702,931,Áo liền quần - Bộ trang phục
53582,4384,Đồ uống có cồn
2307,1520,Máy Massage & Thiết bị chăm sóc sức khỏe
10803,1975,Thực phẩm bổ sung năng lượng
11332,11312,Khóa học
4559,976,Túi tote nữ
4558,976,"Túi đeo chéo, túi đeo vai nữ"
27608,6000,Balo
1966,1883,Đồ dùng và thiết bị nhà tắm
54316,44792,Thực phẩm Việt
26568,4221,Âm thanh & Phụ kiện Tivi
8215,1815,Thiết Bị Âm Thanh và Phụ Kiện
8428,1975,Đồ dùng dã ngoại
54398,44792,"Đồ hộp, đóng gói"
44824,44792,Trái Cây
4561,976,Ví nữ
4560,976,Túi xách tay nữ
8387,6000,Túi du lịch và phụ kiện
3864,4221,Máy rửa chén
54474,44792,Chăm sóc cá nhân
8338,1686,Phụ kiện giày nam
11322,11312,Spa & Làm đẹp
21268,17166,Nhà Cửa - Đời Sống
20908,17166,Làm Đẹp - Sức Khỏe
54452,44792,"Bánh kẹo, giỏ quà"
8093,1846,PC - Máy Tính Bộ
54330,44792,"Sữa, bơ, phô mai"
1008,1703,Giày Đế xuồng nữ 
8339,2549,Dinh dưỡng cho bé
4421,4384,Đồ Ăn Vặt
2015,1883,Đèn & thiết bị chiếu sáng
21074,17166,Laptop & Máy Vi Tính
21166,17166,Mẹ & Bé
1595,1520,Nước hoa
28814,1801,Thiết Bị Ánh Sáng
1974,1883,Sửa chữa nhà cửa
8597,8594,Xe máy
27542,8371,Phụ kiện đồng hồ
4227,1975,Các môn thể thao đồng đội
320,8322,English Books
2757,1801,Ống Kính (Lens)
8431,8594,Xe đạp
28822,1801,Thiết Bị Quay Phim
24306,1975,Phụ kiện thể thao
28794,1801,Ống Kính - Ống Ngắm
2551,2549,"Tã, Bỉm"
981,1703,Giày boots nữ
941,931,Đầm nữ
958,27616,Túi đeo chéo nam
5337,27616,Túi xách công sở nam
21356,17166,Thể thao - Dã ngoại
8595,8594,Ô tô
54344,44792,"Đông lạnh, mát"
54276,44792,"Thịt, Trứng"
1592,1520,Chăm sóc cơ thể
5404,931,Chân váy
1594,1520,Chăm sóc cá nhân
2667,1815,Thiết Bị Chơi Game và Phụ Kiện
5340,1686,Giày lười nam
11313,11312,Nhà hàng - Ăn uống
1591,1520,Chăm sóc tóc và da đầu
1584,1520,Trang điểm 
20824,17166,Điện gia dụng
54362,44792,"Dầu ăn, gia vị"
21054,17166,Điện Thoại - Máy Tính Bảng
2663,1846,Thiết Bị Mạng
959,27616,Ví nam
4077,1801,Camera Giám Sát
6526,6000,"Vali, phụ kiện vali "
27612,6000,"Balo, cặp, túi chống sốc laptop"
2322,1520,Thực phẩm chức năng
918,915,Áo sơ mi nam
925,915,Áo vest - Áo khoác nam
10068,1883,Nhạc cụ
917,915,Áo thun nam
1508,931,Đồ ngủ - Đồ mặc nhà nữ
