,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,249266441,1166733377001,"Miếng lót giày da hàng Việt Nam chất lượng, lót mềm, có lỗ thoáng, màu đen LG01",mieng-lot-giay-da-hang-viet-nam-chat-luong-lot-mem-co-lo-thoang-mau-den-lg01-p249266441,mieng-lot-giay-da-hang-viet-nam-chat-luong-lot-mem-co-lo-thoang-mau-den-lg01-p249266441.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.249266442&itm_medium=CPC&itm_source=tiki-reco&spid=249266442,,,,OEM,,15000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}]",14000,48,5.0,9,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/05/61/ac/7ce7083a8545cdb98e2082c9d93bff26.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,249266442,,,False,"{'text': 'Đã bán 23', 'value': 23}",,,29000,True,"[{'impression_id': 'thanos-product-Al0h6KcI5xdRlZbx', 'metadata': {'price': 15000, 'rating_average': 5, 'reviews_count': 9, 'seller_product_id': 249266442}, 'checksum': ''}, {'impression_id': 'bfb9ae2e-f0f2-4689-8efe-907b80c9e29d', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,330629
1,107801997,5688445455708,Lót Giày Thể Thao XIMO Siêu Êm Chân Thế Hế Mới XLGTT24,lot-giay-the-thao-ximo-sieu-em-chan-the-he-moi-xlgtt24-p107801997,lot-giay-the-thao-ximo-sieu-em-chan-the-he-moi-xlgtt24-p107801997.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.107802015&itm_medium=CPC&itm_source=tiki-reco&spid=107802015,,,,Ximo,,25000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}]",25000,50,4.6,229,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b1/a0/f9/d6775caa92b0a12b7aba944124480c69.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,107802015,,,False,"{'text': 'Đã bán 1466', 'value': 1466}",,,50000,True,"[{'impression_id': 'thanos-product-HQg6Zbo5ci86qWa3', 'metadata': {'price': 25000, 'rating_average': 4.6, 'reviews_count': 229, 'seller_product_id': 107802015}, 'checksum': ''}, {'impression_id': '996f91c4-c998-4ea5-a624-b5595abda37b', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,196837
2,8193848,9172311653664,Lót Giày Thể Thao Nam Yellow Sport - Size L,lot-giay-the-thao-nam-yellow-sport-p8193848,lot-giay-the-thao-nam-yellow-sport-p8193848.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.188663082&itm_medium=CPC&itm_source=tiki-reco&spid=188663082,,,,OEM,,39978,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 8 ASA (2k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",39978,50,4.3,7,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/70/7c/71/7d4ea26d77b34201d0240a83622a5354.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,188663082,,,False,"{'text': 'Đã bán 40', 'value': 40}",,,79956,True,"[{'impression_id': 'thanos-product-HRDSF1raql0sQeYR', 'metadata': {'price': 39978, 'rating_average': 4.3, 'reviews_count': 7, 'seller_product_id': 188663082}, 'checksum': ''}, {'impression_id': '594b8da4-3779-4172-984a-0b123215e818', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,291069
3,8189688,1744521783953,Lót Giày Nam Cao Cấp Run Sport - Lót Giầy Thể Thao Chuyên Dụng,lot-giay-nam-cao-cap-run-sport-lot-giay-the-thao-chuyen-dung-p8189688,lot-giay-nam-cao-cap-run-sport-lot-giay-the-thao-chuyen-dung-p8189688.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.85915665&itm_medium=CPC&itm_source=tiki-reco&spid=85915665,,,,OEM,,45000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (244 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.5,32,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/70/c4/2b/dc0d3310c02d1313a23060be70dc0d4b.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,85915665,,,False,"{'text': 'Đã bán 152', 'value': 152}",,,45000,True,"[{'impression_id': 'thanos-product-qccuBrVlyT4xQBMx', 'metadata': {'price': 45000, 'rating_average': 4.5, 'reviews_count': 32, 'seller_product_id': 85915665}, 'checksum': ''}, {'impression_id': '47d0fcd4-eedc-4a29-b838-b381d4c3657c', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,12619
4,169865725,9882796751212,"Lót Giày Da Bò Thật-L06 (Combo 2Đôi) Tấm Lót Giày Giúp Ôm Chân Khi Giày Dãng Rộng,Thấm Hút Mồ Hôi Khử Mùi Hiệu Quả -Giày SAGO’S",lot-giay-da-bo-that-l06-combo-2doi-tam-lot-giay-giup-om-chan-khi-giay-dang-rong-tham-hut-mo-hoi-khu-mui-hieu-qua-giay-sago-s-p169865725,lot-giay-da-bo-that-l06-combo-2doi-tam-lot-giay-giup-om-chan-khi-giay-dang-rong-tham-hut-mo-hoi-khu-mui-hieu-qua-giay-sago-s-p169865725.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.203863620&itm_medium=CPC&itm_source=tiki-reco&spid=203863620,,,,	OEM,,63000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (341 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.2,9,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/78/f8/94/f10a1837c55e2282fc68003778636134.jpeg,280,280,[],False,,False,1551,,,False,False,,,[],,,203863620,,,False,"{'text': 'Đã bán 43', 'value': 43}",,,63000,True,"[{'impression_id': 'thanos-product-bDjX6SgmOiNU3EK0', 'metadata': {'price': 63000, 'rating_average': 4.2, 'reviews_count': 9, 'seller_product_id': 203863620}, 'checksum': ''}, {'impression_id': '018b4245-0ff5-4834-8f90-717a7b6b1cf3', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,79389
5,115124883,1545276056356,LÓT GIẦY HƯƠNG QUẾ_LÓT QUẾ KHỬ MÙI HÔI HIỆU QUẢ,lot-giay-huong-que_lot-que-khu-mui-hoi-hieu-qua-p115124883,lot-giay-huong-que_lot-que-khu-mui-hoi-hieu-qua-p115124883.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.115124917&itm_medium=CPC&itm_source=tiki-reco&spid=115124917,,,,OEM,,8000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (339 ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",2000,20,4.6,59,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/5b/74/e3/db4f3ab28dd3c799cb483ffc0ab34f20.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,115124917,,,False,"{'text': 'Đã bán 670', 'value': 670}",,,10000,True,"[{'impression_id': 'thanos-product-8fb6phtPzjhVCLG9', 'metadata': {'price': 8000, 'rating_average': 4.6, 'reviews_count': 59, 'seller_product_id': 115124917}, 'checksum': ''}, {'impression_id': '9e902d66-1ae8-4e70-bdc3-9e3f6adeca7c', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,208802
6,101656524,9963995923363,Lót Giày Khử Mùi Thoáng Khí Siêu Cao Cấp Sans911 Sans Shop,lot-giay-khu-mui-thoang-khi-sieu-cao-cap-sans911-sans-shop-p101656524,lot-giay-khu-mui-thoang-khi-sieu-cao-cap-sans911-sans-shop-p101656524.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.101656840&itm_medium=CPC&itm_source=tiki-reco&spid=101656840,,,,OEM,,39900,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}]",0,0,3.0,2,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/31/dd/8b/233c6257cd44e8689088f16f6f3b9508.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,101656840,,,False,"{'text': 'Đã bán 10', 'value': 10}",https://salt.tikicdn.com/ts/video/72/bb/fa/637338a24f27a0c61a9ee87944303e02.mp4,,39900,True,"[{'impression_id': 'thanos-product-jdeD6oE4oDiQxowT', 'metadata': {'price': 39900, 'rating_average': 3, 'reviews_count': 2, 'seller_product_id': 101656840}, 'checksum': ''}, {'impression_id': '4d8ae54a-949d-41bf-b41e-3c087492b646', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,189195
7,55721221,9140797843280,Lót giày sợi đay Hương Quế CI-08 vải dệt từ sợi đay - vải cotton - bột quế giúp êm chân - khử mùi và cải thiện sức khoẻ,lot-giay-soi-day-huong-que-ci-08-vai-det-tu-soi-day-vai-cotton-bot-que-giup-em-chan-khu-mui-va-cai-thien-suc-khoe-p55721221,lot-giay-soi-day-huong-que-ci-08-vai-det-tu-soi-day-vai-cotton-bot-que-giup-em-chan-khu-mui-va-cai-thien-suc-khoe-p55721221.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.55721241&itm_medium=CPC&itm_source=tiki-reco&spid=55721241,,,,Hương quế,,79000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (428 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,7,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/40/e1/56/837fcc7c58a156952daa3c189427f800.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,55721241,,,False,"{'text': 'Đã bán 44', 'value': 44}",,,79000,True,"[{'impression_id': 'thanos-product-rQk8Ggo5Ttf7jBsn', 'metadata': {'price': 79000, 'rating_average': 5, 'reviews_count': 7, 'seller_product_id': 55721241}, 'checksum': ''}, {'impression_id': 'd46bc461-9cdb-4f97-87ea-201599aff490', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,61212
8,143868093,3811212725124,Combo 10 cặp lót giày êm chân - size nam - Trắng,combo-10-cap-lot-giay-em-chan-size-nam-trang-p143868093,combo-10-cap-lot-giay-em-chan-size-nam-trang-p143868093.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.143868099&itm_medium=CPC&itm_source=tiki-reco&spid=143868099,,,,LAHstore,,70000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 14 ASA (3k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,4,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/13/93/fa/cf99fb6cc21c4198954c735448202451.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,143868099,,,False,"{'text': 'Đã bán 13', 'value': 13}",,,70000,True,"[{'impression_id': 'thanos-product-9vGeXELzIjwdoOgO', 'metadata': {'price': 70000, 'rating_average': 5, 'reviews_count': 4, 'seller_product_id': 143868099}, 'checksum': ''}, {'impression_id': 'f851fa3b-819d-4af2-bf95-f50c5ac6fa22', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,148560
9,261982674,6125188954384,"Miếng Lót Giày Da Siêu Thoáng Khí, Màu Nâu Lót Giày Êm Chân Khử Mùi Hiệu Quả",mieng-lot-giay-da-sieu-thoang-khi-mau-nau-lot-giay-em-chan-khu-mui-hieu-qua-p261982674,mieng-lot-giay-da-sieu-thoang-khi-mau-nau-lot-giay-em-chan-khu-mui-hieu-qua-p261982674.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.261982676&itm_medium=CPC&itm_source=tiki-reco&spid=261982676,,,,OEM,,15000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}]",10000,40,5.0,2,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/03/7f/7c/b5c03020d4971f0cbbbcb35056a01efb.jpg,280,280,[],False,,False,1551,,,False,False,,,[],,,261982676,,,False,"{'text': 'Đã bán 4', 'value': 4}",,,25000,True,"[{'impression_id': 'thanos-product-GfJR1MZROGLpF53X', 'metadata': {'price': 15000, 'rating_average': 5, 'reviews_count': 2, 'seller_product_id': 261982676}, 'checksum': ''}, {'impression_id': 'd8d7d087-9647-486b-87f3-a1e730853684', 'metadata': {'product_id': 1551, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1686/8338/49646,0,330629
